"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611735";"3";"11";"Apartamento";"#NULO#";"130000,00";"28/08/2018";"12:02:32"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611747";"2";"12";"Casa";"#NULO#";"300000,00";"22/08/2018";"19:00:19"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611956";"8";"12";"Casa";"Uma casa localizada na Rua Campos Novos n.. 57, Pavimento Terreo, Bairro Damas, Fortaleza ¿ Ceara, com uma area edificada de 83,64m2";"52500,00";"31/08/2018";"10:27:39"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611733";"2";"21";"Veiculo automotor terrestre: caminhao, automovel, moto, etc.";"#NULO#";"25000,00";"22/08/2018";"19:00:19"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611138";"1";"63";"Dinheiro em especie - moeda nacional";"#NULO#";"300000,00";"28/08/2018";"18:19:26"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611140";"11";"99";"OUTROS BENS E DIREITOS";"#NULO#";"17041,00";"26/08/2018";"15:11:49"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000612039";"3";"14";"Terra nua";"#NULO#";"100000,00";"28/08/2018";"19:03:37"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000612043";"14";"45";"Aplicacao de renda fixa (CDB, RDB e outros)";"#NULO#";"943,30";"01/09/2018";"13:47:54"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000605091";"14";"14";"Terra nua";"UMA PARTE DE TERRA PARA AGRO-PECUARIA SITUADA EM AURORA/CE";"16748,74";"29/08/2018";"14:37:52"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000605091";"20";"32";"Quotas ou quinhoes de capital";"QUOTAS DE CAPITAL SOCIAL EMPRESA RADIO VALE DO CARIRI LTDA";"15000,00";"29/08/2018";"14:37:52"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611243";"2";"11";"Apartamento";"#NULO#";"180000,00";"31/08/2018";"08:56:48"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611140";"12";"21";"Veiculo automotor terrestre: caminhao, automovel, moto, etc.";"#NULO#";"90500,00";"26/08/2018";"15:11:49"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611141";"10";"3";"Galpao";"#NULO#";"50000,00";"28/08/2018";"18:20:10"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611956";"21";"32";"Quotas ou quinhoes de capital";"Cotas de capital na empresa EJOS Construcoes e Consultoria LTDA., uma sociedade por quota de responsabilidade limitada";"8000,00";"31/08/2018";"10:27:39"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000612029";"9";"61";"Deposito bancario em conta corrente no Pais";"#NULO#";"304,14";"28/08/2018";"19:03:37"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000612031";"4";"45";"Aplicacao de renda fixa (CDB, RDB e outros)";"#NULO#";"489420,19";"28/08/2018";"19:03:37"
